,case_id,step_number,org:resource,lifecycle:transition,concept:name,time:timestamp,time:weekday,time:hour,time:day,time:event_count,time:busy_day
0,6,0,112.0,COMPLETE,A_SUBMITTED,2011-10-01 09:45:37.274000+02:00,5,9,1-10-2011,381,False
1,6,1,112.0,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 09:45:37.363000+02:00,5,9,1-10-2011,381,False
2,6,2,112.0,SCHEDULE,W_Afhandelen leads,2011-10-01 09:46:18.623000+02:00,5,9,1-10-2011,381,False
3,6,3,10912.0,START,W_Afhandelen leads,2011-10-01 10:15:43.883000+02:00,5,10,1-10-2011,381,False
4,6,4,10912.0,COMPLETE,A_PREACCEPTED,2011-10-01 10:16:48.956000+02:00,5,10,1-10-2011,381,False
5,6,5,10912.0,SCHEDULE,W_Completeren aanvraag,2011-10-01 10:16:48.991000+02:00,5,10,1-10-2011,381,False
6,6,6,10912.0,COMPLETE,W_Afhandelen leads,2011-10-01 10:16:49.843000+02:00,5,10,1-10-2011,381,False
7,6,7,10912.0,START,W_Completeren aanvraag,2011-10-01 11:49:28.183000+02:00,5,11,1-10-2011,381,False
8,6,8,10912.0,COMPLETE,W_Completeren aanvraag,2011-10-01 11:50:14.483000+02:00,5,11,1-10-2011,381,False
9,6,9,10912.0,START,W_Completeren aanvraag,2011-10-01 11:50:21.451000+02:00,5,11,1-10-2011,381,False
10,6,10,10912.0,COMPLETE,W_Completeren aanvraag,2011-10-01 11:53:55.769000+02:00,5,11,1-10-2011,381,False
11,6,11,,START,W_Completeren aanvraag,2011-10-01 14:50:26.172000+02:00,5,14,1-10-2011,381,False
12,6,12,11111.0,COMPLETE,A_DECLINED,2011-10-01 14:59:58.557000+02:00,5,14,1-10-2011,381,False
13,6,13,,COMPLETE,W_Completeren aanvraag,2011-10-01 15:00:02.537000+02:00,5,15,1-10-2011,381,False
14,16,0,112.0,COMPLETE,A_SUBMITTED,2011-10-01 13:01:58.813000+02:00,5,13,1-10-2011,381,False
15,16,1,112.0,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 13:01:59.052000+02:00,5,13,1-10-2011,381,False
16,16,2,112.0,COMPLETE,A_PREACCEPTED,2011-10-01 13:02:44.257000+02:00,5,13,1-10-2011,381,False
17,16,3,112.0,SCHEDULE,W_Completeren aanvraag,2011-10-01 13:02:44.607000+02:00,5,13,1-10-2011,381,False
18,16,4,11019.0,START,W_Completeren aanvraag,2011-10-01 15:25:56.976000+02:00,5,15,1-10-2011,381,False
19,16,5,11019.0,COMPLETE,W_Completeren aanvraag,2011-10-01 15:40:09.622000+02:00,5,15,1-10-2011,381,False
20,16,6,11203.0,START,W_Completeren aanvraag,2011-10-01 15:49:16.131000+02:00,5,15,1-10-2011,381,False
21,16,7,11203.0,COMPLETE,W_Completeren aanvraag,2011-10-01 15:55:45.029000+02:00,5,15,1-10-2011,381,False
22,16,8,11203.0,START,W_Completeren aanvraag,2011-10-01 15:56:00.621000+02:00,5,15,1-10-2011,381,False
23,16,9,11203.0,COMPLETE,A_ACCEPTED,2011-10-01 16:00:15.975000+02:00,5,16,1-10-2011,381,False
24,16,10,11203.0,COMPLETE,A_FINALIZED,2011-10-01 16:05:26.312000+02:00,5,16,1-10-2011,381,False
25,16,11,11203.0,COMPLETE,O_SELECTED,2011-10-01 16:05:26.312000+02:00,5,16,1-10-2011,381,False
26,16,12,11203.0,COMPLETE,O_CREATED,2011-10-01 16:05:27.699000+02:00,5,16,1-10-2011,381,False
27,16,13,11203.0,COMPLETE,O_SENT,2011-10-01 16:05:27.739000+02:00,5,16,1-10-2011,381,False
28,16,14,11203.0,SCHEDULE,W_Nabellen offertes,2011-10-01 16:05:27.836000+02:00,5,16,1-10-2011,381,False
29,16,15,11203.0,COMPLETE,W_Completeren aanvraag,2011-10-01 16:05:28.909000+02:00,5,16,1-10-2011,381,False
